uvrstitev,startna_st,name,state,velocity_1,distance_1,SLO_1,GER_1,AUT_1,POL_1,JPN_1,NOR_1,FIN_1,CAN_1,KAZ_1,ITA_1,FRA_1,RUS_1,CZE_1,SUI_1,ROU_1,USA_1,KOR_1,SWE_1,gate_1,tocke_1,mesto_1,velocity_2,distance_2,SLO_2,GER_2,AUT_2,POL_2,JPN_2,NOR_2,FIN_2,CAN_2,KAZ_2,ITA_2,FRA_2,RUS_2,CZE_2,SUI_2,ROU_2,USA_2,KOR_2,SWE_2,gate_2,tocke_2,mesto_2,tocke,hill_size,k_point
1.,9,DAMJAN Jernej,SLO,88.1,140.0,18.5,18.5,,,,18.0,18.5,,,,,,,,,,,18.5,9,148.2,1.,87.9,142.0,19.0,19.0,,,,19.5,19.5,,,,,,,,,,,19.5,9,153.2,2.,301.4,142,120
2.,34,FORFANG Johann Andre,NOR,88.5,136.5,18.0,18.0,,,,18.0,18.5,,,,,,,,,,,18.0,9,145.5,6.,88.3,142.0,18.5,19.0,,,,18.5,18.5,,,,,,,,,,,19.0,9,153.1,3.,298.6,142,120
3.,43,WELLINGER Andreas,GER,88.4,140.0,19.0,19.0,,,,19.0,19.0,,,,,,,,,,,19.0,9,146.0,5.,88.6,140.0,19.0,19.0,,,,19.0,19.0,,,,,,,,,,,19.5,9,147.0,5.,293.0,142,120
4.,46,TANDE Daniel Andre,NOR,88.5,138.5,18.5,19.0,,,,19.0,19.0,,,,,,,,,,,19.0,9,146.3,3.,88.5,138.5,18.5,19.0,,,,19.0,18.5,,,,,,,,,,,19.0,9,146.4,6.,292.7,142,120
5.,37,EISENBICHLER Markus,GER,88.0,133.5,17.5,17.5,,,,17.0,17.5,,,,,,,,,,,17.5,9,133.3,16.,88.2,139.5,18.5,18.5,,,,18.5,18.5,,,,,,,,,,,19.0,9,151.0,4.,284.3,142,120
6.,47,FREITAG Richard,GER,88.0,134.5,18.5,18.5,,,,18.0,18.0,,,,,,,,,,,18.5,9,137.8,13.,88.0,138.5,18.5,18.5,,,,18.0,18.0,,,,,,,,,,,18.5,9,146.2,7.,284.0,142,120
7.,39,JOHANSSON Robert,NOR,88.8,138.5,18.5,19.0,,,,18.5,19.0,,,,,,,,,,,18.5,9,147.0,2.,88.5,135.5,18.0,18.0,,,,16.5,17.0,,,,,,,,,,,18.0,9,136.1,16.,283.1,142,120
8.,41,KUBACKI Dawid,POL,88.6,138.0,19.0,19.0,,,,19.0,19.0,,,,,,,,,,,19.0,9,146.1,4.,88.5,135.0,18.5,18.5,,,,18.5,18.5,,,,,,,,,,,18.5,9,135.9,17.,282.0,142,120
9.,42,LEYHE Stephan,GER,88.5,136.5,18.5,18.5,,,,18.0,18.5,,,,,,,,,,,18.5,9,140.4,9.,88.5,135.5,18.0,18.5,,,,18.5,18.5,,,,,,,,,,,18.0,9,140.7,9.,281.1,142,120
10.,50,KOBAYASHI Junshiro,JPN,87.7,137.0,18.5,19.0,,,,18.5,19.0,,,,,,,,,,,18.5,9,142.3,7.,87.8,134.5,18.5,18.5,,,,18.5,18.5,,,,,,,,,,,19.0,9,138.4,12.,280.7,142,120
11.,45,ZYLA Piotr,POL,87.8,138.0,18.5,18.5,,,,18.5,18.5,,,,,,,,,,,18.5,9,142.3,7.,87.7,134.0,18.0,18.5,,,,18.0,18.0,,,,,,,,,,,18.0,9,137.1,15.,279.4,142,120
12.,36,FETTNER Manuel,AUT,88.2,134.5,18.0,18.0,,,,17.5,17.5,,,,,,,,,,,18.0,9,138.2,11.,87.7,138.5,18.5,18.5,,,,18.0,18.5,,,,,,,,,,,18.0,9,140.8,8.,279.0,142,120
13.,48,KRAFT Stefan,AUT,88.1,126.0,17.5,17.0,,,,17.5,17.5,,,,,,,,,,,17.0,9,120.0,26.,88.2,145.0,19.5,19.5,,,,19.0,19.5,,,,,,,,,,,19.0,9,156.7,1.,276.7,142,120
14.,40,PASCHKE Pius,GER,88.0,134.5,18.5,18.5,,,,18.5,18.0,,,,,,,,,,,18.5,9,138.0,12.,87.9,132.0,18.0,18.5,,,,18.5,18.0,,,,,,,,,,,18.5,9,131.5,21.,269.5,142,120
15.,24,TAKEUCHI Taku,JPN,88.3,130.0,18.0,17.5,,,,17.5,18.0,,,,,,,,,,,17.5,9,129.2,20.,88.1,136.0,18.5,18.5,,,,18.0,18.0,,,,,,,,,,,19.0,9,138.4,12.,267.6,142,120
16.,33,KOT Maciej,POL,88.3,126.5,17.5,17.0,,,,18.0,17.5,,,,,,,,,,,17.5,9,129.7,18.,88.3,135.0,18.0,17.5,,,,17.5,17.5,,,,,,,,,,,17.5,9,135.5,18.,265.2,142,120
17.,17,SEMENIC Anze,SLO,88.2,128.5,18.0,18.0,,,,17.5,17.5,,,,,,,,,,,18.0,9,126.1,21.,88.1,135.5,18.5,18.5,,,,18.5,18.0,,,,,,,,,,,18.5,9,135.2,19.,261.3,142,120
18.,35,GEIGER Karl,GER,88.5,134.5,17.0,17.5,,,,17.5,16.5,,,,,,,,,,,17.5,9,138.7,10.,88.4,126.5,17.5,16.5,,,,17.0,17.0,,,,,,,,,,,17.5,9,122.1,26.,260.8,142,120
19.,20,AMMANN Simon,SUI,88.0,132.0,17.5,17.5,,,,17.5,17.5,,,,,,,,,,,17.5,9,130.0,17.,87.8,130.0,17.5,17.5,,,,17.5,17.5,,,,,,,,,,,18.0,9,128.3,24.,258.3,142,120
20.,49,STOCH Kamil,POL,88.1,126.0,17.5,17.5,,,,17.5,17.5,,,,,,,,,,,17.5,9,119.6,27.,88.0,138.0,18.0,18.0,,,,17.0,18.5,,,,,,,,,,,18.5,9,138.5,11.,258.1,142,120
21.,44,HULA Stefan,POL,88.3,127.0,17.5,17.5,,,,17.5,17.5,,,,,,,,,,,18.0,9,118.4,29.,88.5,137.5,18.5,18.5,,,,18.5,18.5,,,,,,,,,,,18.5,9,139.5,10.,257.9,142,120
22.,29,GRANERUD Halvor Egner,NOR,87.9,128.5,17.5,17.5,,,,17.5,17.5,,,,,,,,,,,17.5,9,123.5,22.,87.9,135.0,18.0,18.5,,,,18.0,18.0,,,,,,,,,,,18.5,9,134.2,20.,257.7,142,120
23.,32,PREVC Peter,SLO,87.9,125.5,17.5,17.0,,,,17.0,17.0,,,,,,,,,,,17.5,9,120.3,25.,88.0,136.0,19.0,18.5,,,,18.5,19.0,,,,,,,,,,,18.5,9,137.3,14.,257.6,142,120
24.,15,KORNILOV Denis,RUS,88.0,127.0,17.0,17.0,,,,17.5,17.5,,,,,,,,,,,17.5,9,123.4,23.,87.9,134.0,17.5,18.0,,,,17.5,18.0,,,,,,,,,,,17.5,9,130.9,22.,254.3,142,120
25.,26,HAYBOECK Michael,AUT,88.5,127.5,17.5,17.5,,,,17.5,17.5,,,,,,,,,,,18.0,9,121.9,24.,88.3,133.5,18.0,18.0,,,,18.0,18.0,,,,,,,,,,,18.0,9,130.0,23.,251.9,142,120
26.,27,AALTO Antti,FIN,88.0,131.5,18.0,17.5,,,,18.0,18.0,,,,,,,,,,,18.0,9,129.6,19.,88.0,125.0,17.5,17.0,,,,17.5,17.5,,,,,,,,,,,17.0,9,116.7,27.,246.3,142,120
27.,30,AIGNER Clemens,AUT,88.1,125.0,17.5,17.0,,,,17.0,17.0,,,,,,,,,,,17.0,9,118.7,28.,88.3,131.5,18.0,18.0,,,,17.5,17.5,,,,,,,,,,,18.0,9,127.3,25.,246.0,142,120
28.,28,POPPINGER Manuel,AUT,88.0,134.0,18.5,18.5,,,,18.0,18.0,,,,,,,,,,,18.0,9,135.4,14.,87.9,118.0,17.0,17.5,,,,17.0,16.5,,,,,,,,,,,17.0,9,107.2,28.,242.6,142,120
29.,31,BARTOL Tilen,SLO,87.7,132.5,18.5,18.5,,,,18.0,17.5,,,,,,,,,,,18.0,9,134.2,15.,87.8,104.5,15.0,14.5,,,,14.0,14.0,,,,,,,,,,,15.5,9,74.4,30.,208.6,142,120
30.,3,WOLNY Jakub,POL,87.7,124.0,17.0,17.5,,,,17.0,17.5,,,,,,,,,,,17.0,9,117.1,30.,87.5,114.0,14.5,14.0,,,,14.0,14.5,,,,,,,,,,,16.0,9,91.0,29.,208.1,142,120
1.,46,FREITAG Richard,GER,87.3,135.0,17.0,,,16.5,,,,,15.0,16.5,,15.0,,,,,,,5,126.1,8.,86.7,137.0,19.0,,,19.0,,,,,19.0,19.0,,19.0,,,,,,,4,141.4,2.,267.5,134,120
2.,49,TANDE Daniel Andre,NOR,87.9,141.0,17.0,,,16.5,,,,,16.5,16.5,,17.0,,,,,,,5,134.8,2.,87.7,134.0,19.0,,,19.0,,,,,19.0,19.0,,19.0,,,,,,,4,132.1,4.,266.9,134,120
3.,48,FORFANG Johann Andre,NOR,87.3,129.0,18.0,,,18.5,,,,,18.0,17.5,,17.5,,,,,,,5,123.1,13.,87.0,141.5,18.0,,,17.5,,,,,18.0,18.0,,17.5,,,,,,,4,141.2,3.,264.3,134,120
4.,45,WELLINGER Andreas,GER,87.8,127.0,18.0,,,18.5,,,,,18.5,18.5,,18.0,,,,,,,5,118.4,21.,87.4,138.5,19.0,,,19.5,,,,,19.5,19.5,,19.0,,,,,,,4,145.8,1.,264.2,134,120
4.,44,KRAFT Stefan,AUT,87.3,133.0,19.0,,,19.0,,,,,19.0,19.0,,19.0,,,,,,,5,133.0,3.,86.9,133.5,19.0,,,19.0,,,,,19.0,18.5,,18.5,,,,,,,4,131.2,5.,264.2,134,120
6.,33,GEIGER Karl,GER,88.1,131.0,18.5,,,18.5,,,,,18.5,18.5,,18.0,,,,,,,5,135.1,1.,87.4,131.0,18.5,,,18.5,,,,,18.5,18.5,,18.0,,,,,,,4,124.7,7.,259.8,134,120
7.,19,DESCHWANDEN Gregor,SUI,87.2,137.0,18.5,,,18.0,,,,,18.5,19.0,,18.5,,,,,,,5,132.1,4.,86.5,128.5,18.5,,,18.5,,,,,18.0,18.0,,18.0,,,,,,,4,118.2,16.,250.3,134,120
8.,35,FETTNER Manuel,AUT,87.2,129.5,18.5,,,18.0,,,,,18.5,17.5,,18.0,,,,,,,5,127.3,7.,86.5,127.5,18.0,,,18.0,,,,,18.0,18.0,,18.0,,,,,,,4,117.2,18.,244.5,134,120
9.,29,SEMENIC Anze,SLO,87.8,130.0,18.0,,,18.5,,,,,18.5,18.0,,18.0,,,,,,,5,121.5,14.,87.0,131.0,18.5,,,18.5,,,,,18.5,18.5,,18.5,,,,,,,4,122.4,9.,243.9,134,120
10.,42,ZYLA Piotr,POL,86.9,128.0,17.0,,,18.0,,,,,18.0,17.5,,17.0,,,,,,,5,124.4,10.,86.2,129.5,18.5,,,18.5,,,,,18.0,17.5,,18.0,,,,,,,4,119.4,14.,243.8,134,120
11.,41,KUBACKI Dawid,POL,87.5,126.0,18.0,,,18.0,,,,,18.5,18.5,,18.0,,,,,,,5,118.8,18.,87.3,130.5,18.5,,,18.5,,,,,18.5,19.0,,18.5,,,,,,,4,123.9,8.,242.7,134,120
12.,14,ZAJC Timi,SLO,87.1,119.5,17.5,,,17.5,,,,,17.5,17.0,,17.0,,,,,,,5,114.6,27.,86.6,134.0,18.5,,,19.0,,,,,18.5,19.0,,19.0,,,,,,,4,128.0,6.,242.6,134,120
13.,32,PREVC Peter,SLO,87.4,131.5,18.5,,,19.0,,,,,19.0,19.0,,18.5,,,,,,,5,129.5,6.,86.8,123.5,18.0,,,18.0,,,,,18.0,18.0,,18.0,,,,,,,4,113.0,23.,242.5,134,120
14.,43,EISENBICHLER Markus,GER,87.7,129.0,18.0,,,18.0,,,,,18.0,17.5,,17.5,,,,,,,5,119.4,17.,86.7,127.0,18.0,,,18.0,,,,,18.0,18.0,,18.0,,,,,,,4,122.4,9.,241.8,134,120
15.,47,STOCH Kamil,POL,87.0,128.0,18.5,,,18.5,,,,,18.5,18.0,,18.5,,,,,,,5,125.3,9.,86.4,124.0,18.0,,,18.0,,,,,18.0,17.5,,17.5,,,,,,,4,115.9,20.,241.2,134,120
16.,27,AMMANN Simon,SUI,87.1,127.0,17.5,,,18.0,,,,,17.5,17.0,,17.5,,,,,,,5,120.4,15.,86.7,124.5,17.5,,,18.0,,,,,18.0,17.5,,17.5,,,,,,,4,119.0,15.,239.4,134,120
17.,36,PASCHKE Pius,GER,87.4,130.0,18.5,,,18.5,,,,,18.5,19.0,,18.5,,,,,,,5,131.0,5.,86.6,122.5,18.0,,,17.5,,,,,17.5,18.0,,17.5,,,,,,,4,108.0,26.,239.0,134,120
18.,50,DAMJAN Jernej,SLO,86.8,127.5,18.0,,,18.0,,,,,18.0,17.5,,17.5,,,,,,,5,120.0,16.,86.6,127.5,18.5,,,18.0,,,,,18.5,18.5,,18.5,,,,,,,4,118.2,16.,238.2,134,120
19.,23,HAYBOECK Michael,AUT,88.0,131.0,18.0,,,18.5,,,,,18.5,18.5,,18.5,,,,,,,5,124.3,11.,87.7,122.5,18.0,,,17.5,,,,,18.0,18.0,,17.5,,,,,,,4,113.7,22.,238.0,134,120
20.,34,KOT Maciej,POL,87.6,127.5,18.0,,,18.5,,,,,18.5,18.5,,18.0,,,,,,,5,124.0,12.,87.1,123.5,17.5,,,17.5,,,,,17.5,17.5,,17.5,,,,,,,4,113.0,23.,237.0,134,120
21.,17,RHOADS William,USA,87.2,126.0,18.0,,,17.5,,,,,18.0,17.5,,17.5,,,,,,,5,114.1,29.,86.5,131.5,17.5,,,18.0,,,,,17.5,18.0,,17.5,,,,,,,4,122.2,11.,236.3,134,120
22.,21,FANNEMEL Anders,NOR,87.2,127.0,17.0,,,17.5,,,,,17.0,16.0,,17.0,,,,,,,5,114.0,30.,87.0,131.0,18.0,,,18.5,,,,,18.5,18.0,,18.0,,,,,,,4,122.2,11.,236.2,134,120
23.,31,STJERNEN Andreas,NOR,87.8,123.0,18.0,,,17.5,,,,,18.0,17.5,,17.5,,,,,,,5,115.0,25.,87.1,128.5,18.0,,,18.0,,,,,18.5,18.5,,18.0,,,,,,,4,120.9,13.,235.9,134,120
24.,28,AIGNER Clemens,AUT,87.6,126.0,18.0,,,18.0,,,,,18.0,18.5,,18.0,,,,,,,5,117.7,23.,86.9,127.0,18.0,,,18.0,,,,,18.0,17.5,,17.5,,,,,,,4,116.0,19.,233.7,134,120
25.,24,KORNILOV Denis,RUS,87.4,125.0,18.0,,,18.0,,,,,18.0,18.0,,18.0,,,,,,,5,115.0,25.,86.6,127.0,17.5,,,18.0,,,,,18.0,17.5,,18.0,,,,,,,4,115.6,21.,230.6,134,120
26.,40,JOHANSSON Robert,NOR,87.9,127.0,17.5,,,18.0,,,,,18.0,17.5,,18.0,,,,,,,5,118.5,19.,87.4,123.0,17.5,,,17.5,,,,,17.0,17.0,,17.5,,,,,,,4,111.6,25.,230.1,134,120
